,cliente_doc,fecha_emision,punto_venta,comp_nro,razon_social,condicion_iva,domicilio,condicion_venta,producto,cantidad,unidad,precio_unitario,bonificacion,importe_bonificacion,subtotal,IVA_contenido,otros_tributos,importeTotal,archivo_origen
0,,28/07/2026,00001,00003988,,Consumidor Final,,Contado / Cuenta Corriente / Otra,Cajones,"3,00",unidades,3500.0,0.0,0.0,10500.0,2481.81,0.0,14300.0,30715431013_001_00001_00000339 (1)
1,,28/07/2026,00001,00003988,,Consumidor Final,,Contado / Cuenta Corriente / Otra,Rezagos varios,"1,00",unidades,3800.0,0.0,0.0,3800.0,,,,30715431013_001_00001_00000339 (1)
2,,28/07/2026,00001,00003988,,Consumidor Final,,Contado / Cuenta Corriente / Otra,Cajones,"3,00",unidades,3500.0,0.0,0.0,10500.0,2481.81,0.0,14300.0,30715431013_001_00001_00000340 (1)
3,,28/07/2026,00001,00003988,,Consumidor Final,,Contado / Cuenta Corriente / Otra,Rezagos varios,"1,00",unidades,3800.0,0.0,0.0,3800.0,,,,30715431013_001_00001_00000340 (1)
4,,28/07/2026,00001,00003988,,Consumidor Final,,Contado / Cuenta Corriente / Otra,Cajones,"3,00",unidades,3500.0,0.0,0.0,10500.0,2481.81,0.0,14300.0,30715431013_006_00001_00003908
5,,28/07/2026,00001,00003988,,Consumidor Final,,Contado / Cuenta Corriente / Otra,Rezagos varios,"1,00",unidades,3800.0,0.0,0.0,3800.0,,,,30715431013_006_00001_00003908
6,,28/07/2026,00001,00003988,,Consumidor Final,,Contado / Cuenta Corriente / Otra,Cajones,"3,00",unidades,3500.0,0.0,0.0,10500.0,2481.81,0.0,14300.0,30715431013_006_00001_00003909
7,,28/07/2026,00001,00003988,,Consumidor Final,,Contado / Cuenta Corriente / Otra,Rezagos varios,"1,00",unidades,3800.0,0.0,0.0,3800.0,,,,30715431013_006_00001_00003909
8,,28/07/2026,00001,00003988,,Consumidor Final,,Contado / Cuenta Corriente / Otra,Cajones,"3,00",unidades,3500.0,0.0,0.0,10500.0,2481.81,0.0,14300.0,30715431013_006_00001_00003910 (1)
9,,28/07/2026,00001,00003988,,Consumidor Final,,Contado / Cuenta Corriente / Otra,Rezagos varios,"1,00",unidades,3800.0,0.0,0.0,3800.0,,,,30715431013_006_00001_00003910 (1)
10,,28/07/2026,00001,00003988,,Consumidor Final,,Contado / Cuenta Corriente / Otra,Cajones,"3,00",unidades,3500.0,0.0,0.0,10500.0,2481.81,0.0,14300.0,30715431013_006_00001_00003910
11,,28/07/2026,00001,00003988,,Consumidor Final,,Contado / Cuenta Corriente / Otra,Rezagos varios,"1,00",unidades,3800.0,0.0,0.0,3800.0,,,,30715431013_006_00001_00003910
12,,28/07/2026,00001,00003988,,Consumidor Final,,Contado / Cuenta Corriente / Otra,Cajones,"3,00",unidades,3500.0,0.0,0.0,10500.0,2481.81,0.0,14300.0,30715431013_006_00001_00003911
13,,28/07/2026,00001,00003988,,Consumidor Final,,Contado / Cuenta Corriente / Otra,Rezagos varios,"1,00",unidades,3800.0,0.0,0.0,3800.0,,,,30715431013_006_00001_00003911
14,,28/07/2026,00001,00003988,,Consumidor Final,,Contado / Cuenta Corriente / Otra,Cajones,"3,00",unidades,3500.0,0.0,0.0,10500.0,2481.81,0.0,14300.0,30715431013_006_00001_00003912
15,,28/07/2026,00001,00003988,,Consumidor Final,,Contado / Cuenta Corriente / Otra,Rezagos varios,"1,00",unidades,3800.0,0.0,0.0,3800.0,,,,30715431013_006_00001_00003912
